"","x_1","x_2","y"
"2463",0.531329031376847,14.5615185584055,1
"2511",2.35025044928752,14.7859251178444,1
"2227",-0.0892360062714226,14.0720399130438,1
"526",1.34713564215034,1.55266399883819,-1
"195",0.523092262522758,-0.964934960438151,-1
"2986",1.62445939181735,15.2522221110532,1
"1842",1.87884019815337,1.46328802902493,-1
"1142",1.66234246982392,0.915864810637125,-1
"3371",0.490532538777456,13.613408630961,1
"1253",2.52027599950915,2.4086600258429,-1
"1268",2.47399686707482,1.60012336088057,-1
"1038",1.41274076617429,1.21153447719893,-1
"3446",2.82055860299963,14.7221407896493,1
"665",2.58120135843909,1.75778982809843,-1
"2650",2.77490996692439,13.8003880304969,1
"1627",2.15693009725205,1.38552338923215,-1
"3840",1.26480113066841,14.0553535260953,1
"2757",2.19917248707677,16.2570396057814,1
"1011",2.78619770851654,1.62360966744586,-1
"1115",3.947616577083,3.1140827751041,-1
"953",2.69599303093098,0.966884185469556,-1
"348",2.08307799228462,0.819919708163625,-1
"1017",2.75145181260111,1.36919273638814,-1
"3721",0.68841311554812,13.3681096012926,1
"2013",3.64099764868984,16.8010410563339,1
"1379",2.40711997197432,1.0367316639399,-1
"2888",3.01419231239598,15.2597290437971,1
"2074",1.94148037922344,14.7324825010356,1
"2567",1.01792862361047,14.8091173924254,1
"1450",0.805477093620523,0.132727063365861,-1
"1673",3.08836786919695,-1.20100797936062,-1
"1790",1.89265769812781,0.848252124838345,-1
"211",1.82327551250915,1.6807228374562,-1
"2980",2.22477368298092,15.0876877967102,1
"1614",2.93988859208129,1.28624668197436,-1
"2641",1.53404329015171,14.1227254851253,1
"555",1.03762827161726,0.938399483072415,-1
"1895",2.7186466811324,-0.13031569296409,-1
"373",1.86499157701242,1.87270826312304,-1
"2892",0.674026246194982,13.2602081207424,1
"1167",2.22930217065315,0.591567910543076,-1
"2592",0.178732126384985,13.6897325216824,1
"2538",1.90709323269881,14.9751424105524,1
"3693",1.44218635001052,15.3772765099914,1
"1799",2.39410857139456,2.79531212329947,-1
"905",-0.20331170982021,-1.16560990507517,-1
"2985",2.0950845920409,14.8884044483706,1
"1866",2.12696252719203,1.10297305112611,-1
"1047",3.30166317629292,1.16296499425902,-1
"2971",1.93645832380293,15.3891477318846,1
"3004",1.32535269121273,15.1557085680369,1
"309",2.19651811078434,0.846797116437358,-1
"3207",0.397108638284016,14.2961471725988,1
"3893",1.27360150133671,14.3084094146426,1
"1248",1.45811224210673,-0.479626496673523,-1
"166",1.67260825154042,0.474100795963399,-1
"217",1.80734410329526,1.32715837387331,-1
"1314",2.40021682028929,0.518157722989731,-1
"2629",0.897367804924093,15.2157828495657,1
"2120",2.203071363887,14.1927933272921,1
"588",3.53948393537913,0.234688582930211,-1
"1599",0.747901194467689,0.209232198369327,-1
"141",-0.0563018219286713,0.165213865886085,-1
"722",0.243095344793686,-1.29181402983675,-1
"2907",2.25552911366599,13.8060541066007,1
"153",3.20945773703385,2.5769589679316,-1
"294",1.98163348625319,1.33416723341186,-1
"277",2.28969913448649,1.67728405252734,-1
"1487",1.53504901763468,-0.767625266314852,-1
"41",2.02177733658132,2.47567795781567,-1
"2479",2.33296946719815,14.9971455470058,1
"2138",2.7159924784083,16.6937838948701,1
"316",2.68097940286108,1.32300712105542,-1
"3295",1.94212764387659,14.6062638607814,1
"2576",1.92495973373487,14.3129924292593,1
"3188",1.13673786030282,15.2152526127227,1
"3678",2.47203850418567,15.1626268594285,1
"2822",3.55215272947001,14.472860383518,1
"2795",3.60687560242312,15.2021965050301,1
"2504",1.80698449573545,14.9134187554359,1
"2646",1.13709515616855,13.4717739674834,1
"3111",3.12940832604366,15.4465243612093,1
"1183",2.98298941600402,2.29615635923195,-1
"752",1.65145282302077,1.74012444127142,-1
"3281",1.96945743957747,15.1485836292256,1
"374",1.40319449238314,0.530258807210088,-1
"3994",0.816096537431687,14.5874140156079,1
"2033",1.59958641495621,13.6313579042296,1
"2082",1.27307219724713,14.9187129634981,1
"516",1.0993369741763,2.58244208688298,-1
"13",2.3639559542183,1.63699437338125,-1
"2117",-0.0660034987290872,14.0510598805574,1
"2038",2.09436895203725,15.1193032772119,1
"1919",1.84845657037005,-0.13568750467462,-1
"755",2.95028431403053,2.63656885352503,-1
"2457",1.06281932208003,12.8589668137241,1
"1332",3.38063329973833,1.50759878494492,-1
"3350",0.224575245416435,15.6929529352791,1
"1113",1.56031825168722,0.442010561432373,-1
"2976",3.88008242681101,15.0546122462615,1
"1006",2.74951214533432,-0.133242356518213,-1
"2585",2.43522283709723,13.7435884492113,1
"3031",1.54023247087151,16.3093705532491,1
"2339",2.03894583935236,16.8345905621147,1
"1448",1.216756344283,-0.00275924363000524,-1
"3358",2.38302032666787,15.4403773268987,1
"671",1.94572288382259,0.629116593177985,-1
"2169",1.11503691193663,15.5767607892338,1
"1134",2.08337704353478,1.70537087592098,-1
"3230",2.44641521067973,15.6491844850069,1
"1088",3.78474281064747,2.58747260756766,-1
"1507",3.36890235820162,1.75845061048038,-1
"1934",1.52681583835039,0.277533760536185,-1
"1501",2.21192912098498,1.14907375500875,-1
"480",2.10517699643183,1.4826943922064,-1
"3783",0.722495178807116,15.5637570924218,1
"2115",1.91618388094434,15.9532252366233,1
"3735",1.73482857343011,15.3053916743616,1
"3062",2.25576221392588,14.7131788699766,1
"1914",3.22081345847168,1.82485809683647,-1
"1871",1.17344707107635,1.27258148743535,-1
"1109",3.06162506608846,1.0273449460187,-1
"165",1.83417995359243,1.07368719440515,-1
"3720",2.37776490947063,15.5746205402682,1
"1075",2.07575684413187,-0.390859783383857,-1
"3146",2.99331668553085,15.3118693162666,1
"3250",1.742930913641,15.8047351650741,1
"1386",2.2176422168848,2.43397635047954,-1
"2284",2.30388057144889,15.0009479484768,1
"610",1.74662915427781,1.83327112159991,-1
"2378",2.25171816075486,14.7702959778672,1
"2774",3.64834252075862,15.3308507814845,1
"127",1.39789526730345,-0.312905027900755,-1
"2260",2.2720017018435,15.1020414843599,1
"686",2.47757073101257,1.38775647976358,-1
"3857",1.66932990034888,16.3031269391838,1
"1982",1.62143809638419,0.360470987984659,-1
"2862",3.31270883516646,15.5877657596364,1
"3382",1.96449275328965,14.8978281471232,1
"931",3.26293629768775,0.83025387129006,-1
"3816",4.24888787068904,15.9431548617329,1
"2926",2.28347125143046,15.6149498127722,1
"2291",-0.333650596067804,13.3564618766295,1
"847",1.87252721747402,1.31676320151425,-1
"3185",2.26514383265894,12.6237404630294,1
"983",1.18499145026242,-0.756612315855675,-1
"619",2.77054245194635,1.30167179691307,-1
"1927",0.532599418992341,-1.02589293676062,-1
"477",2.09335102849851,1.07759398142768,-1
"1999",0.609164513037308,0.4538976265523,-1
"151",2.4696472972597,0.740840048339869,-1
"2714",0.132099050458806,15.1798227202934,1
"1638",1.70786900066435,0.877757599699827,-1
"2815",2.06765672793719,15.4259932753752,1
"2208",0.706036780615616,14.9750671517689,1
"3463",2.34653696571404,15.1629452255313,1
"2203",3.31406665249978,16.5049987382959,1
"2474",-0.322567040645513,13.7760391249964,1
"1029",2.22416167867335,2.32668724934404,-1
"326",2.95335941846954,2.21224459511933,-1
"3352",-0.209379551839818,13.5372332497027,1
"2837",0.877056235020161,15.8556241793535,1
"3639",1.42193458740898,15.4296805074766,1
"1956",2.05189736164714,0.177610195877068,-1
"1262",2.23337159351461,1.78800266393795,-1
"1788",0.962124630854444,1.00454999856438,-1
"1363",2.21611975228476,1.74606906628881,-1
"985",2.91115478472438,1.10712479535492,-1
"2087",2.28631214304239,16.0337401644543,1
"2870",1.51946769247694,14.1891663385755,1
"986",1.77366005194476,0.175942109995226,-1
"137",2.98445340850464,0.416490277362604,-1
"2503",2.41560533380859,14.975884002795,1
"1762",1.68532944130968,0.990670022530891,-1
"1584",1.53100513571981,0.873941334590258,-1
"589",3.0873499422846,2.38684061924332,-1
"3155",1.48838284964679,16.1844818214954,1
"3768",-0.0988627973795499,15.031715514334,1
"1903",2.49651588080194,1.10822435709249,-1
"3832",2.78367641468051,14.1824088512461,1
"2244",3.05821063042908,16.2487718732987,1
"1793",1.7683580627826,-0.702549529277571,-1
"680",1.17475266571648,1.17145361950633,-1
"3895",2.05520751279591,15.6009721379164,1
"1630",1.71463434914749,0.460222638845695,-1
"2548",2.48609758069812,14.7482246318606,1
"3833",2.67670002976372,15.0904771240354,1
"1808",3.10747445761712,1.71842186108323,-1
"344",1.8963186236085,1.32674642879976,-1
"3862",0.991055263528309,14.0343866099072,1
"2507",2.39627911362106,14.2432260799668,1
"2992",2.33972230427124,15.1204033105616,1
"3092",1.56809473888353,16.4996706801182,1
"2920",2.20225670757352,14.7729818100367,1
"3996",3.72032513186921,16.2730404901214,1
"1885",1.16163217213375,1.16204262944233,-1
"3236",3.56776792295415,15.9005945984807,1
"3124",3.91953660650523,15.505168927949,1
"876",2.4798464934177,1.08582549328176,-1
"2582",2.36248214720155,14.0070245781504,1
